,vec0,vec1,vec2,vec3,vec4,vec5,vec6,vec7,vec8,vec9,vec10,vec11,vec12,vec13,vec14,vec15,vec16,vec17,vec18,vec19
24,-0.190358,0.001719,0.106585,0.210947,0.243115,0.125438,-0.067130,-0.283247,0.319562,0.317712,0.261479,-0.094963,0.008709,0.055084,0.142545,0.042188,0.155769,0.319667,-0.094196,-0.012112
25,-0.310599,-0.077455,-0.196983,0.102463,0.067986,-0.018585,0.077114,-0.317023,0.075749,0.121325,0.103954,-0.151656,0.072121,-0.025113,-0.047358,0.046442,0.306720,0.165119,-0.042055,-0.036429
26,-0.072856,0.016489,0.430115,-0.303817,0.243651,0.293818,-0.268477,-0.358522,0.463941,0.580565,0.801034,-0.263861,-0.171695,0.237426,-0.137728,0.113282,0.363586,0.563782,-0.514425,0.056917
27,-0.578524,0.055280,-0.339693,0.064652,-0.098386,-0.098250,0.011130,-0.371328,-0.210249,-0.202131,0.338809,-0.212706,-0.000151,-0.167488,-0.059140,0.095684,0.416138,0.464876,-0.266210,-0.108231
28,-0.396024,-0.079170,-0.233396,0.135609,0.050641,0.025315,0.075811,-0.358707,0.087894,0.007779,0.012981,-0.135803,0.109056,-0.044689,0.024283,0.081724,0.282651,0.166258,-0.072183,-0.101770
29,-0.518866,-0.153307,-0.249156,0.170332,0.142058,0.047156,0.098521,-0.527507,0.187903,0.118334,0.134199,-0.192356,0.048796,-0.074858,-0.040005,0.062298,0.449819,0.300340,-0.052298,-0.099079
30,-0.237053,0.138724,0.170208,0.096721,0.014883,0.037689,-0.085779,-0.194086,0.291526,0.545622,0.330737,-0.323259,-0.000153,0.142353,-0.075917,-0.008814,0.258231,0.295274,-0.334770,0.274557
31,-0.390848,-0.020067,0.125725,0.038588,0.285884,0.187747,-0.003882,-0.401097,0.406207,0.643524,0.451549,-0.309998,0.025493,0.068653,-0.076881,0.038188,0.409541,0.472988,-0.211790,0.173686
32,-0.660930,-0.154899,-0.295980,0.143715,0.214004,0.061372,0.082833,-0.667881,0.189874,0.283394,0.275013,-0.350545,0.089743,-0.030915,-0.061859,0.053473,0.654475,0.424755,-0.135931,-0.087184
33,-0.378536,-0.087041,-0.275743,0.138484,0.110957,-0.012576,0.064303,-0.389273,0.023105,0.035912,0.060195,-0.158677,0.088289,-0.036676,-0.000672,0.042745,0.340189,0.184359,-0.048574,-0.141484
34,-0.571502,-0.141048,-0.276705,0.184081,0.101187,0.077763,0.117380,-0.556272,0.121635,0.124751,0.119953,-0.265488,0.106768,-0.057874,-0.046526,0.085596,0.485193,0.300579,-0.099946,-0.076235
35,-0.591606,0.084178,-0.350691,0.040772,-0.151486,-0.131805,-0.030324,-0.358040,-0.192646,-0.187449,0.325406,-0.219374,0.010205,-0.157479,-0.083537,0.084283,0.357087,0.455067,-0.240156,-0.085939
36,-0.403287,-0.139106,-0.236945,0.129770,0.096217,0.002259,0.067342,-0.400927,0.065458,-0.020789,0.027235,-0.156520,0.019269,-0.079443,-0.027974,0.031876,0.330169,0.214325,-0.040524,-0.128590
37,-0.652055,-0.164597,-0.303811,0.151493,0.196500,0.092674,0.098700,-0.649682,0.184292,0.253081,0.235829,-0.324879,0.031842,-0.051240,-0.096636,0.086193,0.585353,0.392246,-0.126771,-0.081364
38,-0.381161,-0.045659,0.196490,0.115969,0.443160,0.255296,-0.109795,-0.530840,0.384229,0.794762,0.562157,-0.376908,0.073906,0.072546,0.042286,0.092696,0.321157,0.586983,-0.198031,0.072241
39,-0.497958,-0.051763,0.163935,0.129202,0.662668,0.102248,-0.113543,-0.272963,0.677202,0.701620,0.537753,-0.156477,-0.023038,0.073884,0.083225,0.134801,0.248460,0.876203,-0.195795,0.059155
40,-0.323831,0.075047,0.161819,0.282954,0.465019,0.293060,-0.287195,-0.525570,0.468164,0.887047,0.584842,-0.391290,0.101766,0.012609,0.074773,-0.118765,0.254453,0.358934,-0.228899,-0.011856
